id,geoname_id,extra,alternate_name,extra1,extra2,extra3,extra4,extra5,extra6
1611797,5881791,de,Abbotsford,,,,,,
3028933,5881791,link,https://en.wikipedia.org/wiki/Abbotsford%2C_British_Columbia,,,,,,
3046921,5881791,ru,Абботсфорд,,,,,,
7484468,5881791,iata,YXX,,,,,,
8705978,5881791,ar,أبوتسفورد,,,,,,
8705979,5881791,ja,アボッツフォード,,,,,,
8705980,5881791,ko,애버츠퍼드,,,,,,
8705981,5881791,lt,Abotsfordas,,,,,,
8705982,5881791,pnb,ایباٹسفورڈ,,,,,,
8705983,5881791,sr,Аботсфорд,,,,,,
8705984,5881791,uk,Абботсфорд,,,,,,
8705985,5881791,ur,ایبٹس فورڈ، برٹش کولمبیا,,,,,,
8705986,5881791,zh,亞博斯福,,,,,,
11330354,5881791,fa,ابوتسفورد، بریتیش کلمبیا,,,,,,
13731693,5881791,unlc,CAABB,,,,,,
3057183,5882142,link,https://ru.wikipedia.org/wiki/Acton_Vale,,,,,,
9458693,5882142,el,Άκτον Βέιλ,,,,,,
9458694,5882142,fa,اکتون وال، کبک,,,,,,
9458695,5882142,pnb,ایکٹن والی,,,,,,
9458696,5882142,sr,Актон Вејл,,,,,,
9458697,5882142,ru,Актонвейл,,,,,,
13731703,5882142,unlc,CAACV,,,,,,
15712653,5882142,wkdt,Q141960,,,,,,
16173246,5882142,link,https://en.wikipedia.org/wiki/Acton_Vale,,,,,,
8226609,5882799,ar,إيردراي,,,,,,
8226610,5882799,ko,에어드리,,,,,,
8226611,5882799,pnb,ائرڈرائ,,,,,,
8226612,5882799,sr,Ердри,,,,,,
8226613,5882799,fa,ایردری,,,,,,
8226614,5882799,zh,艾尔德里,,,,,,
11352197,5882799,ur,ائیرڈرائی، البرٹا,,,,,,
13731719,5882799,unlc,CAAIR,,,,,,
3028956,5882873,link,https://en.wikipedia.org/wiki/Ajax%2C_Ontario,,,,,,
8296673,5882873,ar,أجاكس,,,,,,
8296674,5882873,uk,Аджакс,,,,,,
8296675,5882873,ko,에이잭스,,,,,,
8296676,5882873,sr,Ејџакс,,,,,,
8296677,5882873,ru,Эйджакс,,,,,,
8714878,5882873,ja,エイジャックス,,,,,,
8714879,5882873,zh,亞積士,,,,,,
11342497,5882873,fa,اجاکس، انتاریو,,,,,,
13731723,5882873,unlc,CAAJX,,,,,,
3046922,5884083,ru,Алма,,,,,,
7483792,5884083,iata,YTF,,,,,,
8300580,5884083,sr,Алма,,,,,,
8300581,5884083,pnb,آلما,,,,,,
8300582,5884083,uk,Альма,,,,,,
8300583,5884083,ar,ألما، كيبك,,,,,,
8300584,5884083,fa,آلما، کبک,,,,,,
11674650,5884083,fr,Alma,,,,,,
11674700,5884083,link,"https://en.wikipedia.org/wiki/Alma,_Quebec",,,,,,
13734217,5884083,unlc,CAYTF,,,,,,
15557723,5884083,wkdt,Q141973,,,,,,
